['哈利·波特与魔法石'],"[' 奇幻 ', ' 冒险 ']",['2020中国大陆重映']
['速度与激情：特别行动2'],"[' 动作 ', ' 犯罪 ']",['2023美国上映']
['釜山行'],"[' 动作 ', ' 惊悚 ', ' 灾难 ']",['2016-07-20韩国上映']
['速度与激情：增压'],"[' 动作 ', ' 短片 ']",['2015-06-25美国上映']
['与神同行：罪与罚'],"[' 剧情 ', ' 奇幻 ']",['2017-12-20韩国上映']
['八佰'],"[' 剧情 ', ' 战争 ', ' 历史 ']",['2020中国大陆上映']
['囧妈'],"[' 剧情 ', ' 喜剧 ']",['2020-01-25中国大陆上映']
['战疫英雄'],[' 剧情 '],['2020-10-09中国大陆上映']
['我和我的祖国'],[' 剧情 '],['2019-09-30中国大陆上映']
['数码宝贝大冒险：最后的进化·羁绊'],"[' 动画 ', ' 冒险 ']",['2020-02-21日本上映']
['最美逆行'],[' 剧情 '],['2020-06-28中国大陆上映']
['泰迦奥特曼剧场版 新世代CLIMAX'],"[' 科幻 ', ' 冒险 ']",['2020-03-06日本上映']
['紧急救援'],"[' 剧情 ', ' 灾难 ', ' 动作 ']",['2020中国大陆上映']
['疯狂的GPS'],"[' 喜剧 ', ' 爱情 ', ' 悬疑 ']",['2020中国大陆上映']
['爵迹2'],"[' 动画 ', ' 奇幻 ']",['2020中国大陆上映']
['平原上的摩西'],"[' 剧情 ', ' 悬疑 ']",['2020中国大陆上映']
['因爱而伟大'],"[' 剧情 ', ' 家庭 ']",[]
['星际穿越'],"[' 剧情 ', ' 科幻 ', ' 冒险 ']",['2020中国大陆重映']
['吹哨人'],"[' 剧情 ', ' 犯罪 ', ' 悬疑 ']",['2019-12-06中国大陆上映']
['金钱帝国2：四大探长'],[' 动作 '],['2020中国大陆上映']
['攀登者'],"[' 剧情 ', ' 冒险 ']",['2019-09-30中国大陆上映']
['我是大哥大 电影版'],[' 喜剧 '],['2020-07-17日本上映']
['蜘蛛侠：英雄远征'],"[' 动作 ', ' 冒险 ', ' 科幻 ']",['2019-06-28中国大陆上映']
['坚如磐石'],"[' 剧情 ', ' 犯罪 ']",['2020中国大陆上映']
['南方车站的聚会'],"[' 剧情 ', ' 犯罪 ']",['2019-12-06中国大陆上映']
['速度与激情：特别行动'],"[' 动作 ', ' 惊悚 ', ' 犯罪 ']",['2019-08-23中国大陆上映']
['赤狐书生'],"[' 奇幻 ', ' 古装 ', ' 喜剧 ']",['2020-08中国大陆上映']
['你的名字。'],"[' 爱情 ', ' 动画 ', ' 奇幻 ']",['2016-12-02中国大陆上映']
['烈火英雄'],"[' 灾难 ', ' 动作 ', ' 剧情 ']",['2019-08-01中国大陆上映']
['叶问4：完结篇'],"[' 动作 ', ' 剧情 ', ' 传记 ']",['2019-12-20中国大陆上映']
['王牌特工：源起'],"[' 喜剧 ', ' 动作 ', ' 冒险 ']",['2020-09-16英国上映']
['反贪风暴5'],"[' 动作 ', ' 犯罪 ']",['2019中国大陆上映']
['大赢家'],[' 喜剧 '],['2020-03-20中国大陆上映']
['我不是药神'],"[' 剧情 ', ' 喜剧 ']",['2018-07-05中国大陆上映']
['鬼灭之刃 兄妹的羁绊'],"[' 动作 ', ' 动画 ', ' 惊悚 ', ' 奇幻 ']",['2019-03-29日本上映']
['海兽之子'],[' 动画 '],['2020中国大陆上映']
['新世纪福音战士新剧场版：终'],"[' 剧情 ', ' 科幻 ', ' 动画 ']",['2020-06-27日本上映']
['信条'],"[' 剧情 ', ' 动作 ', ' 惊悚 ']",['2020-08-12英国上映']
['我和我的家乡'],[' 剧情 '],['2020-10中国大陆上映']
['大鱼海棠2'],"[' 动画 ', ' 奇幻 ']",[]
['东北往事之二十年'],"[' 剧情 ', ' 动作 ', ' 犯罪 ']",['2020中国大陆上映']
['猎狐行动'],"[' 剧情 ', ' 动作 ', ' 犯罪 ']",['2020中国大陆上映']
['熊出没·原始时代'],"[' 喜剧 ', ' 动画 ', ' 冒险 ']",['2019-02-05中国大陆上映']
['未定名索尼影业出品圣诞恐怖片'],[' 剧情 '],['2020美国上映']
['命运/冠位指定 神圣圆桌领域卡美洛 后篇'],"[' 剧情 ', ' 动画 ', ' 奇幻 ']",['2020日本上映']
['大红包'],"[' 喜剧 ', ' 爱情 ']",['2020中国大陆上映']
['航海王：狂热行动'],"[' 动画 ', ' 冒险 ']",['2019-10-18中国大陆上映']
['宠爱'],"[' 喜剧 ', ' 爱情 ', ' 剧情 ']",['2019-12-31中国大陆上映']
['神奇女侠2'],"[' 动作 ', ' 奇幻 ', ' 冒险 ']",['2020-10-02美国上映']
['再见，少年'],"[' 剧情 ', ' 犯罪 ']",['2020中国大陆上映']
['星球大战：天行者崛起'],"[' 动作 ', ' 科幻 ', ' 冒险 ']",['2019-12-20中国大陆上映']
['蜘蛛侠：英雄归来3'],"[' 动作 ', ' 科幻 ', ' 冒险 ', ' 喜剧 ']",['2021-11-05美国上映']
['紫罗兰永恒花园 外传：永远与自动手记人偶'],"[' 剧情 ', ' 动画 ']",['2020-01-10中国大陆上映']
['速度与激情8'],"[' 动作 ', ' 惊悚 ', ' 犯罪 ']",['2017-04-14中国大陆上映']
['魁拔之幽弥狂'],[' 奇幻 '],['2020中国大陆上映']
['西虹市首富'],[' 喜剧 '],['2018-07-27中国大陆上映']
['阿凡达2'],"[' 动作 ', ' 冒险 ', ' 科幻 ']",['2021-12-17美国上映']
['封神三部曲'],"[' 战争 ', ' 奇幻 ']",['2020中国大陆上映']
['平凡世界'],[' 剧情 '],['2020中国大陆上映']
['美人鱼2'],[' 喜剧 '],['2020中国大陆上映']
['动物世界'],"[' 动作 ', ' 悬疑 ', ' 冒险 ']",['2018-06-29中国大陆上映']
['通往春天的列车'],"[' 剧情 ', ' 悬疑 ']",['2020-08-28中国大陆上映']
['死亡通知单之暗黑者'],"[' 动作 ', ' 悬疑 ', ' 犯罪 ']",['2020中国大陆上映']
['明日战记'],"[' 动作 ', ' 科幻 ', ' 冒险 ']",['2019中国香港上映']
['红海行动'],"[' 剧情 ', ' 动作 ']",['2018-02-16中国大陆上映']
['千与千寻'],"[' 动画 ', ' 冒险 ', ' 奇幻 ', ' 家庭 ']",['2019-06-21中国大陆上映']
['前任3：再见前任'],"[' 喜剧 ', ' 爱情 ']",['2017-12-29中国大陆上映']
['白蛇：缘起'],"[' 爱情 ', ' 动画 ', ' 奇幻 ']",['2019-01-11中国大陆上映']
['大鱼海棠'],"[' 剧情 ', ' 动画 ', ' 奇幻 ']",['2016-07-08中国大陆上映']
['去拉萨'],[' 剧情 '],['2020中国大陆上映']
['银河补习班'],"[' 剧情 ', ' 家庭 ']",['2019-07-18中国大陆上映']
['知晓天空之蓝的人啊'],[' 动画 '],['2019-10-11日本上映']
['泰迦奥特曼剧场版 新世代CLIMAX'],"[' 剧情 ', ' 科幻 ', ' 冒险 ']",[]
['陀地驱魔人'],"[' 剧情 ', ' 恐怖 ']",['2015-11-22中国香港上映']
['毒液：致命守护者'],"[' 动作 ', ' 惊悚 ', ' 科幻 ']",['2018-11-09中国大陆上映']
['战神诀'],[' 战争 '],['2019中国大陆上映']
